backend,case_name,device_id,dst_blocks,dst_pattern,fragment_bytes,gbps,iters,mean_ms,num_pages,p50_ms,p90_ms,p95_ms,p99_ms,returncode,selected_blocks,src_pattern,status,useful_mib,warmup
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,sequential,16384,0.1,3,174.698,4096,171.338,182.272,183.638,184.732,0,1024,random,pass,16.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,sequential,16384,0.65,3,25.773,4096,25.378,26.491,26.63,26.741,0,1024,random,pass,16.0,1
HBM gather op,locality_pattern_sweep,0,1024,sequential,16384,605.68,3,0.028,4096,0.028,0.028,0.028,0.028,0,1024,random,pass,16.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,stride,16384,9.33,3,1.798,4096,1.791,1.811,1.814,1.816,0,1024,random,pass,16.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,stride,16384,0.45,3,37.241,4096,37.374,37.383,37.385,37.386,0,1024,random,pass,16.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,stride,16384,0.63,3,26.552,4096,26.474,27.309,27.414,27.497,0,1024,random,pass,16.0,1
HBM gather op,locality_pattern_sweep,0,1024,stride,16384,559.36,3,0.03,4096,0.028,0.034,0.034,0.035,0,1024,random,pass,16.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,random,16384,9.34,3,1.797,4096,1.792,1.805,1.807,1.808,0,1024,random,pass,16.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,random,16384,0.08,3,211.35,4096,210.01,214.355,214.898,215.333,0,1024,random,pass,16.0,1
aclrtMemcpyAsync/contig,locality_pattern_sweep,0,1024,random,16384,0.67,3,25.113,4096,24.98,25.641,25.724,25.79,0,1024,random,pass,16.0,1
HBM gather op,locality_pattern_sweep,0,1024,random,16384,589.09,3,0.028,4096,0.029,0.029,0.029,0.029,0,1024,random,pass,16.0,1
mapped-host gather op,locality_pattern_sweep,0,1024,sequential,65536,9.41,3,7.135,4096,7.138,7.141,7.141,7.141,0,1024,sequential,pass,64.0,1
aclrtMemcpyAsync/page,locality_pattern_sweep,0,1024,sequential,65536,0.46,3,146.609,4096,45.696,289.471,319.943,344.321,0,1024,sequential,pass,64.0,1
